collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),PANAGIA_BRIDGE,,,,,1,6,33.3,44.9,35.0,16.2,,,,,,,,,24.0,0.0,,,,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),PANAGIA_BRIDGE,,,,,1,6,30.2,38.1,35.0,16.2,,,,,,,,,34.0,0.0,,,,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),PANAGIA_BRIDGE,,,,,1,6,25.6,26.9,35.0,16.2,,,,,,,,,59.0,0.0,,,,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),PANAGIA_BRIDGE,,,,,1,6,23.5,24.0,23.7,23.2,,,,,,,,,57.0,0.0,,,,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),PANAGIA_BRIDGE,,,,,1,6,20.5,21.3,23.7,20.4,,,,,,,,,66.0,0.0,,,,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),PANAGIA_BRIDGE,,,,,1,6,19.0,19.8,23.7,18.9,,,,,,,,,64.0,0.0,,,,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),PANAGIA_BRIDGE,,,,,1,6,17.9,18.7,23.7,17.9,,,,,,,,,59.0,0.0,,,,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),PANAGIA_BRIDGE,,,,,1,6,17.3,17.9,23.7,17.2,,,,,,,,,58.0,0.0,,,,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),PANAGIA_BRIDGE,,,,,1,6,16.6,17.3,23.7,16.6,,,,,,,,,56.0,0.0,,,,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),PANAGIA_BRIDGE,,,,,1,6,18.6,19.2,23.7,16.4,,,,,,,,,48.0,0.0,,,,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),PANAGIA_BRIDGE,,,,,1,6,32.3,31.1,32.5,16.4,,,,,,,,,17.0,0.0,,,,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),PANAGIA_BRIDGE,,,,,1,6,36.6,51.9,37.1,16.4,,,,,,,,,15.0,0.0,,,,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),PANAGIA_BRIDGE,,,,,1,6,37.2,46.1,38.2,16.4,,,,,,,,,19.0,0.0,,,,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),PANAGIA_BRIDGE,,,,,1,6,37.6,50.6,38.2,16.4,,,,,,,,,19.0,0.0,,,,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),PANAGIA_BRIDGE,,,,,1,6,31.4,36.8,38.3,16.4,,,,,,,,,39.0,0.0,,,,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),PANAGIA_BRIDGE,,,,,1,6,28.0,28.2,38.3,16.4,,,,,,,,,38.0,0.0,,,,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),PANAGIA_BRIDGE,,,,,1,6,24.9,25.7,25.2,24.8,,,,,,,,,41.0,0.0,,,,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),PANAGIA_BRIDGE,,,,,1,6,23.0,23.8,25.2,22.8,,,,,,,,,40.0,0.0,,,,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-29 00:10 (Local Time),PANAGIA_BRIDGE,,,,,1,6,22.2,22.9,25.2,22.0,,,,,,,,,39.0,0.0,,,,,
2026-07-28T22:10:00+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-29 01:10 (Local Time),PANAGIA_BRIDGE,,,,,1,6,21.9,22.5,25.2,21.7,,,,,,,,,39.0,0.0,,,,,
