collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),KOURIS,,,,,1,8,35.8,,37.2,22.8,10.6,2.1,,,214.0,,,,22.0,0.0,,,5.453106,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),KOURIS,,,,,1,8,34.0,,37.2,22.8,7.3,2.8,,,254.0,,,,27.0,0.0,,,3.755441,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),KOURIS,,,,,1,8,30.7,,37.2,22.8,5.5,2.0,,,66.0,,,,32.0,0.0,,,2.829442,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),KOURIS,,,,,1,8,28.0,,29.2,27.9,11.9,4.1,,,15.0,,,,37.0,0.0,,,6.121884,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),KOURIS,,,,,1,8,27.3,,29.2,27.2,13.2,4.6,,,16.0,,,,34.0,0.0,,,6.790661,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),KOURIS,,,,,1,8,27.0,,29.2,26.8,12.5,4.4,,,17.0,,,,34.0,0.0,,,6.43055,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),KOURIS,,,,,1,8,26.6,,29.2,26.5,11.9,3.8,,,12.0,,,,31.0,0.0,,,6.121884,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),KOURIS,,,,,1,8,26.1,,29.2,26.0,13.2,5.1,,,19.0,,,,30.0,0.0,,,6.790661,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),KOURIS,,,,,1,8,25.5,,29.2,25.2,9.3,3.2,,,18.0,,,,30.0,0.0,,,4.784329,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),KOURIS,,,,,1,8,26.1,,29.2,22.5,7.3,3.0,,,15.0,,,,26.0,0.0,,,3.755441,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),KOURIS,,,,,1,8,34.0,,34.0,22.5,2.8,0.9,,,198.0,,,,22.0,0.0,,,1.440443,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),KOURIS,,,,,1,8,36.8,,36.9,22.5,4.7,1.4,,,210.0,,,,20.0,0.0,,,2.417887,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),KOURIS,,,,,1,8,37.2,,38.7,22.5,5.6,1.9,,,197.0,,,,28.0,0.0,,,2.880886,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),KOURIS,,,,,1,8,35.7,,38.7,22.5,5.8,1.7,,,205.0,,,,41.0,0.0,,,2.983775,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),KOURIS,,,,,1,8,32.0,,38.7,22.5,4.4,1.2,,,216.0,,,,48.0,0.0,,,2.263554,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),KOURIS,,,,,1,8,28.2,,38.7,22.5,2.2,0.9,,,155.0,,,,68.0,0.0,,,1.131777,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),KOURIS,,,,,1,8,28.4,,28.8,27.8,6.9,2.5,,,355.0,,,,60.0,0.0,,,3.549664,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),KOURIS,,,,,1,8,30.2,,30.7,27.8,13.2,5.0,,,17.0,,,,29.0,0.0,,,6.790661,,
