collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,19.6,,21.6,19.5,5.2,1.2,,0.0,171.0,,,,60.0,0.0,,,2.675109,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.7,,21.6,19.2,3.3,0.8,,19.0,169.0,,,,62.0,0.0,,,1.697665,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.0,,32.7,19.2,5.0,1.4,,910.0,325.0,,,,33.0,0.0,,,2.57222,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,31.0,,33.7,19.2,5.0,1.0,,284.0,321.0,,,,38.0,0.0,,,2.57222,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,22.2,,33.7,19.2,4.5,0.7,,0.0,177.0,,,,62.0,0.0,,,2.314998,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.9,,22.1,20.9,6.0,0.5,,0.0,181.0,,,,60.0,0.0,,,3.086664,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.4,,22.1,20.4,5.7,1.3,,0.0,173.0,,,,62.0,0.0,,,2.932331,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.1,,22.1,20.1,5.5,1.0,,0.0,178.0,,,,61.0,0.0,,,2.829442,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,23.2,,23.7,19.6,2.5,0.6,,285.0,168.0,,,,53.0,0.0,,,1.28611,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,33.9,,34.1,19.6,5.5,1.1,,901.0,327.0,,,,32.0,0.0,,,2.829442,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.3,,34.7,19.6,4.9,0.9,,412.0,315.0,,,,39.0,0.0,,,2.520776,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),KALOPANAYIOTIS,,,,,1,9,22.5,,34.7,19.6,4.4,0.4,,0.0,178.0,,,,77.0,0.0,,,2.263554,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,21.4,,22.4,21.4,5.1,0.7,,0.0,175.0,,,,73.0,0.0,,,2.623664,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,20.8,,22.4,20.7,6.0,0.6,,0.0,182.0,,,,59.0,0.0,,,3.086664,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,21.1,,22.4,20.7,5.0,1.2,,0.0,167.0,,,,63.0,0.0,,,2.57222,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),KALOPANAYIOTIS,,,,,1,9,22.2,,22.4,20.6,3.4,0.8,,20.0,162.0,,,,57.0,0.0,,,1.74911,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),KALOPANAYIOTIS,,,,,1,9,32.6,,34.2,20.6,5.7,1.1,,341.0,322.0,,,,33.0,0.0,,,2.932331,,
