collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),KPYRGOS,,,,,1,8,24.0,,26.3,23.6,6.0,1.8,,,142.0,,,,52.0,0.0,,,3.086664,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),KPYRGOS,,,,,1,8,26.8,,27.1,23.3,4.2,1.2,,,137.0,,,,46.0,0.0,,,2.160665,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),KPYRGOS,,,,,1,8,31.2,,31.9,23.3,5.0,2.2,,,325.0,,,,57.0,0.0,,,2.57222,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),KPYRGOS,,,,,1,8,31.3,,32.9,23.3,5.6,2.1,,,311.0,,,,50.0,0.0,,,2.880886,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),KPYRGOS,,,,,1,8,25.5,,32.9,23.3,4.9,1.5,,,146.0,,,,57.0,0.0,,,2.520776,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),KPYRGOS,,,,,1,8,24.3,,25.6,24.2,4.9,1.4,,,148.0,,,,54.0,0.0,,,2.520776,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),KPYRGOS,,,,,1,8,24.2,,25.6,23.7,4.0,1.3,,,146.0,,,,52.0,0.0,,,2.057776,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),KPYRGOS,,,,,1,8,24.5,,25.6,23.7,6.5,2.1,,,140.0,,,,50.0,0.0,,,3.343886,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),KPYRGOS,,,,,1,8,29.8,,30.0,23.7,3.6,1.0,,,134.0,,,,41.0,0.0,,,1.851998,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),KPYRGOS,,,,,1,8,31.0,,32.1,23.7,7.4,3.0,,,326.0,,,,63.0,0.0,,,3.806886,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),KPYRGOS,,,,,1,8,31.6,,32.4,23.7,5.5,2.0,,,321.0,,,,66.0,0.0,,,2.829442,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),KPYRGOS,,,,,1,8,25.9,,32.4,23.7,2.4,0.2,,,150.0,,,,80.0,0.0,,,1.234666,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),KPYRGOS,,,,,1,8,24.4,,25.5,24.3,4.6,1.4,,,151.0,,,,84.0,0.0,,,2.366442,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),KPYRGOS,,,,,1,8,23.8,,25.5,23.3,5.5,1.7,,,141.0,,,,65.0,0.0,,,2.829442,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),KPYRGOS,,,,,1,8,23.8,,25.5,23.3,5.8,1.9,,,144.0,,,,56.0,0.0,,,2.983775,,
