collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),TAMASOS,,,,,1,9,26.0,25.0,27.2,24.7,3.4,0.2,,,242.0,,,,40.0,0.0,,,1.74911,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),TAMASOS,,,,,1,9,26.7,28.6,27.2,21.3,1.8,0.0,,,253.0,,,,40.0,0.0,,,0.925999,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),TAMASOS,,,,,1,9,33.7,44.5,34.0,21.3,2.7,0.4,,,299.0,,,,28.0,0.0,,,1.388999,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),TAMASOS,,,,,1,9,30.6,31.7,34.8,21.3,3.8,0.5,,,307.0,,,,47.0,0.0,,,1.954887,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),TAMASOS,,,,,1,9,26.1,25.6,34.8,21.3,2.6,0.1,,,252.0,,,,57.0,0.0,,,1.337554,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),TAMASOS,,,,,1,9,25.0,24.5,25.9,24.2,3.1,0.0,,,235.0,,,,55.0,0.0,,,1.594776,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),TAMASOS,,,,,1,9,23.3,22.7,25.9,23.2,2.5,0.1,,,225.0,,,,60.0,0.0,,,1.28611,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),TAMASOS,,,,,1,9,26.4,25.5,26.5,22.3,4.2,0.5,,,242.0,,,,39.0,0.0,,,2.160665,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),TAMASOS,,,,,1,9,29.7,34.3,29.7,22.2,2.8,0.3,,,263.0,,,,31.0,0.0,,,1.440443,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),TAMASOS,,,,,1,9,34.2,47.1,34.5,22.2,2.5,0.6,,,338.0,,,,26.0,0.0,,,1.28611,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),TAMASOS,,,,,1,9,32.6,38.7,35.8,22.2,6.8,1.3,,,316.0,,,,48.0,0.0,,,3.498219,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),TAMASOS,,,,,1,9,25.4,25.4,35.8,22.2,1.3,0.0,,,261.0,,,,79.0,0.0,,,0.668777,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),TAMASOS,,,,,1,9,24.6,24.0,26.0,24.6,2.2,0.0,,,220.0,,,,69.0,0.0,,,1.131777,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),TAMASOS,,,,,1,9,23.3,22.9,26.6,23.1,3.0,0.0,,,189.0,,,,68.0,0.0,,,1.543332,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),TAMASOS,,,,,1,9,22.0,21.7,26.6,21.9,2.9,0.0,,,187.0,,,,71.0,0.0,,,1.491888,,
2026-09-03T05:00:00+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03T05:05:18.192986+00:00,2026-09-03 08:00 (Local Time),TAMASOS,,,,,1,9,25.1,26.7,26.6,21.3,1.5,0.0,,,185.0,,,,54.0,0.0,,,0.771666,,
2026-09-03T09:30:00+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03T09:39:30.444970+00:00,2026-09-03 12:30 (Local Time),TAMASOS,,,,,1,9,34.8,45.9,35.0,21.3,2.4,0.6,,,34.0,,,,28.0,0.0,,,1.234666,,
2026-09-03T13:50:00+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03T13:53:05.760897+00:00,2026-09-03 16:40 (Local Time),TAMASOS,,,,,1,9,32.1,35.5,36.2,21.3,5.7,1.3,,,286.0,,,,35.0,0.0,,,2.932331,,
