collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,,PRODROMOS,,,,,0,0,,,,,,,,,,,,,,,,,,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,,PRODROMOS,,,,,0,0,,,,,,,,,,,,,,,,,,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),PRODROMOS,,,,,1,9,24.1,,24.7,22.3,6.0,2.2,,936.0,40.0,,,,44.0,0.1,,,3.086664,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),PRODROMOS,,,,,1,9,21.8,,25.2,21.7,4.8,1.8,,38.0,34.0,,,,56.0,0.0,,,2.469331,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),PRODROMOS,,,,,1,9,17.6,,25.2,17.5,4.7,1.0,,0.0,71.0,,,,63.0,0.0,,,2.417887,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),PRODROMOS,,,,,1,9,17.5,,25.2,17.0,6.2,1.4,,0.0,70.0,,,,60.0,0.0,,,3.189553,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),PRODROMOS,,,,,1,9,18.2,,25.2,17.0,6.6,1.5,,0.0,68.0,,,,57.0,0.0,,,3.39533,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),PRODROMOS,,,,,1,9,18.0,,25.2,17.0,6.2,1.5,,0.0,74.0,,,,55.0,0.0,,,3.189553,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),PRODROMOS,,,,,1,9,20.8,,25.2,17.0,8.4,2.2,,377.0,63.0,,,,50.0,0.0,,,4.32133,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),PRODROMOS,,,,,1,9,26.0,,26.8,17.0,5.1,2.0,,916.0,38.0,,,,39.0,0.0,,,2.623664,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),PRODROMOS,,,,,1,9,24.4,,26.8,17.0,2.7,1.1,,418.0,9.0,,,,52.0,0.0,,,1.388999,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),PRODROMOS,,,,,1,9,21.0,,26.8,17.0,7.5,1.9,,0.0,63.0,,,,50.0,0.0,,,3.85833,,
