collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),PENTAKOMO,,,,,1,8,25.2,,27.8,24.4,2.8,1.4,,,33.0,,,,75.0,0.0,,,1.440443,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),PENTAKOMO,,,,,1,8,29.2,,29.4,24.4,2.3,0.8,,,86.0,,,,54.0,0.0,,,1.183221,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),PENTAKOMO,,,,,1,8,29.7,,31.7,24.4,5.1,2.6,,,173.0,,,,74.0,0.0,,,2.623664,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),PENTAKOMO,,,,,1,8,30.6,,31.7,24.4,5.4,2.3,,,200.0,,,,59.0,0.0,,,2.777998,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),PENTAKOMO,,,,,1,8,27.7,,31.7,24.4,4.7,1.6,,,274.0,,,,78.0,0.0,,,2.417887,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,,PENTAKOMO,,,,,0,0,,,,,,,,,,,,,,,,,,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),PENTAKOMO,,,,,1,8,26.6,,27.8,26.3,6.9,1.8,,,38.0,,,,57.0,0.0,,,3.549664,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),PENTAKOMO,,,,,1,8,26.6,,27.8,26.1,5.5,1.7,,,12.0,,,,73.0,0.0,,,2.829442,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),PENTAKOMO,,,,,1,8,29.7,,29.9,24.6,1.4,0.8,,,125.0,,,,64.0,0.0,,,0.720222,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),PENTAKOMO,,,,,1,8,31.1,,31.3,24.6,6.1,2.4,,,213.0,,,,65.0,0.0,,,3.138108,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),PENTAKOMO,,,,,1,8,31.3,,32.3,24.6,7.5,3.1,,,216.0,,,,61.0,0.0,,,3.85833,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),PENTAKOMO,,,,,1,8,28.5,,32.3,24.6,5.6,2.1,,,266.0,,,,73.0,0.0,,,2.880886,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),PENTAKOMO,,,,,1,8,27.2,,28.1,25.6,2.5,0.9,,,157.0,,,,69.0,0.0,,,1.28611,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),PENTAKOMO,,,,,1,8,26.8,,28.1,25.6,4.3,1.3,,,63.0,,,,66.0,0.0,,,2.212109,,
2026-09-03T00:40:00+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03T00:41:04.689366+00:00,2026-09-03 03:30 (Local Time),PENTAKOMO,,,,,1,8,26.8,,28.1,25.6,4.0,1.3,,,258.0,,,,63.0,0.0,,,2.057776,,
