collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),LINOU,,,,,1,9,32.8,,34.1,21.6,10.4,3.2,,,335.0,,,,31.0,0.0,964.4,,5.350218,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),LINOU,,,,,1,9,30.9,,34.1,21.6,6.9,2.3,,,330.0,,,,38.0,0.0,964.0,,3.549664,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),LINOU,,,,,1,9,25.8,,34.1,21.6,3.2,1.1,,,333.0,,,,60.0,0.0,964.3,,1.646221,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),LINOU,,,,,1,9,24.2,,24.6,24.1,8.3,3.4,,,173.0,,,,52.0,0.0,964.6,,4.269885,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),LINOU,,,,,1,9,24.3,,25.1,24.0,4.7,2.0,,,196.0,,,,44.0,0.0,965.0,,2.417887,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),LINOU,,,,,1,9,23.7,,25.1,23.7,5.7,2.4,,,164.0,,,,40.0,0.0,964.8,,2.932331,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),LINOU,,,,,1,9,23.7,,25.1,23.5,6.8,2.5,,,176.0,,,,37.0,0.0,964.2,,3.498219,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),LINOU,,,,,1,9,24.3,,25.1,23.5,4.7,1.9,,,169.0,,,,33.0,0.0,963.7,,2.417887,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),LINOU,,,,,1,9,24.7,,25.1,23.5,4.5,1.7,,,181.0,,,,33.0,0.0,963.1,,2.314998,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),LINOU,,,,,1,9,28.6,,28.9,23.5,3.8,1.2,,,183.0,,,,26.0,0.0,963.1,,1.954887,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),LINOU,,,,,1,9,34.4,,34.9,23.5,5.9,2.1,,,336.0,,,,23.0,0.0,963.1,,3.03522,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),LINOU,,,,,1,9,35.3,,36.2,23.5,4.7,2.3,,,47.0,,,,25.0,0.0,963.0,,2.417887,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),LINOU,,,,,1,9,36.2,,36.7,23.5,9.0,3.4,,,358.0,,,,27.0,0.0,962.2,,4.629996,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),LINOU,,,,,1,9,37.3,,37.5,23.5,4.5,2.2,,,6.0,,,,20.0,0.0,961.6,,2.314998,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),LINOU,,,,,1,9,32.8,,38.7,23.5,4.1,1.4,,,330.0,,,,36.0,0.0,961.5,,2.10922,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),LINOU,,,,,1,9,29.0,,38.7,23.5,1.8,1.0,,,92.0,,,,42.0,0.0,961.6,,0.925999,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),LINOU,,,,,1,9,28.3,,28.4,28.2,6.4,2.6,,,173.0,,,,35.0,0.0,961.9,,3.292442,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),LINOU,,,,,1,9,29.3,,29.4,28.2,6.7,2.8,,,178.0,,,,26.0,0.0,961.7,,3.446775,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-29 00:10 (Local Time),LINOU,,,,,1,9,29.3,,29.4,28.2,6.4,2.3,,,170.0,,,,25.0,0.0,961.5,,3.292442,,
2026-07-28T22:10:00+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-29 01:10 (Local Time),LINOU,,,,,1,9,27.9,,29.7,27.7,1.7,1.2,,,102.0,,,,30.0,0.0,961.4,,0.874555,,
2026-07-28T23:20:00+00:00,2026-07-28T23:27:24.364687+00:00,2026-07-28T23:27:24.364687+00:00,2026-07-29 02:20 (Local Time),LINOU,,,,,1,9,28.3,,29.7,27.1,5.6,2.0,,,173.0,,,,29.0,0.0,961.1,,2.880886,,
2026-07-29T01:00:00+00:00,2026-07-29T01:01:40.082861+00:00,2026-07-29T01:01:40.082861+00:00,2026-07-29 03:50 (Local Time),LINOU,,,,,1,9,28.4,,29.7,27.1,5.5,2.1,,,172.0,,,,31.0,0.0,961.1,,2.829442,,
2026-07-29T04:10:00+00:00,2026-07-29T04:19:36.420855+00:00,2026-07-29T04:19:36.420855+00:00,2026-07-29 07:10 (Local Time),LINOU,,,,,1,9,29.7,,29.8,27.1,3.6,1.4,,,182.0,,,,31.0,0.0,961.7,,1.851998,,
2026-07-29T07:00:00+00:00,2026-07-29T07:09:26.255488+00:00,2026-07-29T07:09:26.255488+00:00,2026-07-29 10:00 (Local Time),LINOU,,,,,1,9,33.6,,34.7,27.1,9.8,3.7,,,360.0,,,,24.0,0.0,962.1,,5.041551,,
2026-07-29T09:40:00+00:00,2026-07-29T09:48:45.625540+00:00,2026-07-29T09:48:45.625540+00:00,2026-07-29 12:40 (Local Time),LINOU,,,,,1,9,35.5,,35.8,27.1,7.7,2.6,,,336.0,,,,20.0,0.0,962.0,,3.961219,,
2026-07-29T11:50:00+00:00,2026-07-29T11:51:26.079221+00:00,2026-07-29T11:51:26.079221+00:00,2026-07-29 14:40 (Local Time),LINOU,,,,,1,9,37.0,,37.2,27.1,9.0,3.0,,,335.0,,,,19.0,0.0,961.5,,4.629996,,
2026-07-29T13:20:00+00:00,2026-07-29T13:28:00.467181+00:00,2026-07-29T13:28:00.467181+00:00,2026-07-29 16:20 (Local Time),LINOU,,,,,1,9,37.5,,37.9,27.1,6.7,2.8,,,325.0,,,,17.0,0.0,961.0,,3.446775,,
2026-07-29T15:30:00+00:00,2026-07-29T15:32:20.605422+00:00,2026-07-29T15:32:20.605422+00:00,2026-07-29 18:20 (Local Time),LINOU,,,,,1,9,34.8,,38.3,27.1,7.7,2.6,,,333.0,,,,23.0,0.0,960.4,,3.961219,,
2026-07-29T16:50:00+00:00,2026-07-29T16:52:17.939238+00:00,2026-07-29T16:52:17.939238+00:00,2026-07-29 19:40 (Local Time),LINOU,,,,,1,9,29.6,,38.3,27.1,2.3,1.0,,,3.0,,,,43.0,0.0,960.5,,1.183221,,
2026-07-29T18:00:00+00:00,2026-07-29T18:00:00.589899+00:00,2026-07-29T18:00:00.589899+00:00,2026-07-29 20:50 (Local Time),LINOU,,,,,1,9,27.9,,38.3,27.1,4.2,1.6,,,171.0,,,,39.0,0.0,960.7,,2.160665,,
2026-07-29T19:30:00+00:00,2026-07-29T19:36:48.934214+00:00,2026-07-29T19:36:48.934214+00:00,2026-07-29 22:30 (Local Time),LINOU,,,,,1,9,28.0,,28.1,27.5,6.0,2.1,,,171.0,,,,32.0,0.0,960.9,,3.086664,,
2026-07-29T20:30:00+00:00,2026-07-29T20:33:05.590096+00:00,2026-07-29T20:33:05.590096+00:00,2026-07-29 23:20 (Local Time),LINOU,,,,,1,9,27.7,,28.2,27.2,3.6,1.4,,,175.0,,,,31.0,0.0,960.7,,1.851998,,
2026-07-29T21:20:00+00:00,2026-07-29T21:29:43.619457+00:00,2026-07-29T21:29:43.619457+00:00,2026-07-30 00:20 (Local Time),LINOU,,,,,1,9,28.3,,28.4,27.2,4.3,1.6,,,180.0,,,,28.0,0.0,960.6,,2.212109,,
2026-07-29T22:30:00+00:00,2026-07-29T22:31:24.572096+00:00,2026-07-29T22:31:24.572096+00:00,2026-07-30 01:20 (Local Time),LINOU,,,,,1,9,27.9,,28.4,27.2,5.1,2.0,,,163.0,,,,27.0,0.0,960.3,,2.623664,,
2026-07-29T23:30:00+00:00,2026-07-29T23:34:10.764317+00:00,2026-07-29T23:34:10.764317+00:00,2026-07-30 02:20 (Local Time),LINOU,,,,,1,9,27.1,,28.4,26.8,3.8,1.6,,,160.0,,,,28.0,0.0,960.1,,1.954887,,
2026-07-30T00:50:00+00:00,2026-07-30T00:57:07.643729+00:00,2026-07-30T00:57:07.643729+00:00,2026-07-30 03:50 (Local Time),LINOU,,,,,1,9,26.4,,28.4,26.1,5.5,1.9,,,139.0,,,,29.0,0.0,959.5,,2.829442,,
2026-07-30T04:10:00+00:00,2026-07-30T04:12:55.684883+00:00,2026-07-30T04:12:55.684883+00:00,2026-07-30 07:00 (Local Time),LINOU,,,,,1,9,27.7,,28.4,25.7,6.9,2.9,,,190.0,,,,33.0,0.0,959.1,,3.549664,,
2026-07-30T06:40:00+00:00,2026-07-30T06:41:11.521270+00:00,2026-07-30T06:41:11.521270+00:00,2026-07-30 09:30 (Local Time),LINOU,,,,,1,9,33.1,,33.5,25.7,3.3,1.8,,,0.0,,,,27.0,0.0,959.4,,1.697665,,
2026-07-30T09:10:00+00:00,2026-07-30T09:18:21.656088+00:00,2026-07-30T09:18:21.656088+00:00,2026-07-30 12:10 (Local Time),LINOU,,,,,1,9,35.5,,35.9,25.7,9.0,3.1,,,335.0,,,,29.0,0.0,959.2,,4.629996,,
2026-07-30T11:20:00+00:00,2026-07-30T11:25:09.563136+00:00,2026-07-30T11:25:09.563136+00:00,2026-07-30 14:20 (Local Time),LINOU,,,,,1,9,36.4,,36.7,25.7,10.7,3.7,,,318.0,,,,25.0,0.0,959.3,,5.504551,,
2026-07-30T13:00:00+00:00,2026-07-30T13:01:42.645771+00:00,2026-07-30T13:01:42.645771+00:00,2026-07-30 15:50 (Local Time),LINOU,,,,,1,9,35.9,,36.8,25.7,9.6,3.7,,,339.0,,,,24.0,0.0,959.0,,4.938662,,
2026-07-30T15:10:00+00:00,2026-07-30T15:18:46.354902+00:00,2026-07-30T15:18:46.354902+00:00,2026-07-30 18:10 (Local Time),LINOU,,,,,1,9,34.1,,36.8,25.7,6.4,2.4,,,315.0,,,,24.0,0.0,958.8,,3.292442,,
