collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),POLYSTYPOS,,,,,1,8,26.9,,30.3,17.8,1.8,1.4,,,36.0,,,,29.0,0.0,,,0.925999,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),POLYSTYPOS,,,,,1,8,25.1,,30.3,17.8,2.0,0.9,,,343.0,,,,36.0,0.0,,,1.028888,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),POLYSTYPOS,,,,,1,8,21.7,,30.3,17.8,2.3,0.8,,,222.0,,,,45.0,0.0,,,1.183221,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),POLYSTYPOS,,,,,1,8,21.1,,21.2,20.6,1.2,0.1,,,215.0,,,,38.0,0.0,,,0.617333,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),POLYSTYPOS,,,,,1,8,21.4,,22.2,20.6,0.0,0.1,,,319.0,,,,37.0,0.0,,,0.0,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),POLYSTYPOS,,,,,1,8,21.7,,22.2,20.6,3.1,1.2,,,348.0,,,,29.0,0.0,,,1.594776,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),POLYSTYPOS,,,,,1,8,23.3,,23.8,20.6,2.5,1.2,,,54.0,,,,26.0,0.0,,,1.28611,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),POLYSTYPOS,,,,,1,8,22.9,,23.8,20.6,3.2,1.2,,,46.0,,,,28.0,0.0,,,1.646221,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),POLYSTYPOS,,,,,1,8,22.9,,23.8,20.6,4.5,1.8,,,2.0,,,,27.0,0.0,,,2.314998,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),POLYSTYPOS,,,,,1,8,24.7,,25.0,20.6,3.1,1.3,,,353.0,,,,22.0,0.0,,,1.594776,,
