collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-01T00:00:00+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01T00:09:47.161661+00:00,2026-09-01 03:00 (Local Time),FRENAROS,,,,,1,11,24.7,22.9,27.4,24.5,3.6,1.3,,0.0,295.0,,,,78.0,0.0,998.7,,1.851998,,
2026-09-01T05:00:00+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01T05:06:39.752591+00:00,2026-09-01 08:00 (Local Time),FRENAROS,,,,,1,11,28.0,26.2,28.1,23.7,2.5,1.2,,274.0,318.0,,,,72.0,0.0,999.5,,1.28611,,
2026-09-01T10:00:00+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01T10:00:04.426972+00:00,2026-09-01 12:50 (Local Time),FRENAROS,,,,,1,11,33.5,36.2,34.5,23.7,5.0,2.5,,870.0,136.0,,,,55.0,0.0,999.9,,2.57222,,
2026-09-01T14:40:00+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01T14:44:18.360093+00:00,2026-09-01 17:30 (Local Time),FRENAROS,,,,,1,11,31.4,35.1,34.5,23.7,6.3,2.7,,271.0,209.0,,,,60.0,0.0,999.4,,3.240997,,
2026-09-01T17:50:00+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01T17:59:08.587377+00:00,2026-09-01 20:50 (Local Time),FRENAROS,,,,,1,11,27.7,26.1,34.5,23.7,3.1,1.0,,0.0,179.0,,,,65.0,0.0,1000.0,,1.594776,,
2026-09-01T20:50:00+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01T20:57:49.819184+00:00,2026-09-01 23:50 (Local Time),FRENAROS,,,,,1,11,26.8,25.0,27.8,26.8,3.5,1.2,,0.0,254.0,,,,74.0,0.0,1000.2,,1.800554,,
2026-09-01T22:50:00+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-01T22:59:20.646815+00:00,2026-09-02 01:50 (Local Time),FRENAROS,,,,,1,11,25.6,23.9,27.8,25.6,3.0,1.0,,0.0,302.0,,,,83.0,0.0,999.6,,1.543332,,
2026-09-02T00:50:00+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02T00:59:02.229081+00:00,2026-09-02 03:50 (Local Time),FRENAROS,,,,,1,11,24.3,22.7,27.8,24.2,4.6,1.5,,0.0,308.0,,,,79.0,0.0,999.7,,2.366442,,
2026-09-02T05:30:00+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02T05:39:43.544220+00:00,2026-09-02 08:30 (Local Time),FRENAROS,,,,,1,11,29.5,27.6,29.8,22.8,2.2,0.8,,389.0,19.0,,,,66.0,0.0,1000.4,,1.131777,,
2026-09-02T09:50:00+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02T09:55:26.773998+00:00,2026-09-02 12:50 (Local Time),FRENAROS,,,,,1,11,34.2,37.3,35.3,22.8,5.3,2.4,,884.0,152.0,,,,56.0,0.0,1000.2,,2.726553,,
2026-09-02T13:50:00+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02T13:57:56.283149+00:00,2026-09-02 16:50 (Local Time),FRENAROS,,,,,1,11,32.9,36.1,35.3,22.8,8.4,3.4,,420.0,178.0,,,,49.0,0.0,998.9,,4.32133,,
2026-09-02T17:50:00+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02T17:50:45.979036+00:00,2026-09-02 20:40 (Local Time),FRENAROS,,,,,1,11,27.5,26.2,35.3,22.8,4.1,1.5,,0.0,207.0,,,,77.0,0.0,998.8,,2.10922,,
2026-09-02T20:00:00+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02T20:09:15.329239+00:00,2026-09-02 23:00 (Local Time),FRENAROS,,,,,1,11,26.8,25.5,27.5,26.8,5.4,2.1,,0.0,296.0,,,,72.0,0.0,998.8,,2.777998,,
2026-09-02T22:30:00+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-02T22:38:45.682970+00:00,2026-09-03 01:30 (Local Time),FRENAROS,,,,,1,11,25.6,23.7,27.5,25.6,2.9,0.8,,0.0,228.0,,,,84.0,0.0,998.4,,1.491888,,
